tweet;kelas
rt dbmpkotabdg: ridwankamil odedmd yossiirianto diskominfobdg 21/12 urc cibeunying  pengerukan saluran jl veteran - jl sunda https://…;respon
rt dbmpkotabdg: ridwankamil odedmd yossiirianto diskominfobdg 21/12 urc cibeunying lanjutan prbaikan kirmir sal jl gudang utara https…;respon
rt dbmpkotabdg: ridwankamil odedmd yossiirianto diskominfobdg 21/12 urc bojonagara  pengangkutan sendimen jl sukawarna baru https://t…;respon
rt dbmpkotabdg: ridwankamil odedmd yossiirianto diskominfobdg 21/12 urc bojonagara pemasangan ubin difabel jl cicendo https://t.co/tg…;respon
rt prfmnews: cc distarcipbdg  rt  saudarasanusi penyangga gedung ini mengkhawatirkan deh pak ridwankamiltakut roboh https://t.co/ilpny…;keluhan
dbmpkotabdg lampu penerangan jalan di sepanjang jalan bima kel.arjuna kec.cicendo mati hawatir rawan. hatur nuhun https://t.co/5ckcjc9cuw;keluhan
rt se_bdg: #wartabdg lebih tegas dishub_kotabdg evaluasi sistem gembok parkir https://t.co/f9vgwdxzfm iwginting ridwankamil https://t.…;bukan keluhan atau respon
kirmir kali cicadas rw13 kel bbksurabaya longsor mhn bantuan dbmpkotabdg cc ridwankamil odedmd yossiirianto https://t.co/q1ilqh9ulp;keluhan
dbmpkotabdg  hatur nuhun urc gedebage atas pengerukan saluran merkuri kel. manjahlega https://t.co/fbwsrkhjwu;respon
tiap hari lewat bolak balik pa ridwankamil uang habis buat bayar jalan aja ini mah 😞😞😞😞 ga ada cara lain ? https://t.co/fydvitbqvv;keluhan
"ayo pesan sendal bulunya..all size idr 30k hangat &amp; nyaman di kaki ridwankamil infobdg prfmnews memecomicindo https://t.co/iax1cmqxdg";bukan keluhan atau respon
tikungan dari  jl wastu kencana belok ke arah gd pakuan. infobandung dbmpkotabdg galamedianews prfmnews https://t.co/48bm45cotq;bukan keluhan atau respon
bpk ridwankamil dompet sy dcopet d angkot cheum-ldng pk 😭. spt.a copet.a bkrjasama sm spr agkt.a pak. skg sy jd wanita tnp identitas pak😭;keluhan
ridwankamil odedmd yossiirianto diskominfobdg 21/12 urc pju perbaikan lampu pju jl ir h djuanda https://t.co/qqe1womk1d;bukan keluhan atau respon
ridwankamil odedmd yossiirianto diskominfobdg 21/12 urc pju perbaikan lampu pju jl rumah sakit https://t.co/jhrc2wsinw;respon
jln jend sudirman dkt suryani ad cafe mbl parkir dijln n naek trotoar pdhl ad rambu dilrng parkir dbmpkotabdg dishub_kotabdg ridwankamil;keluhan
cc dbmpkotabdg infobandung: hati-hati tweeps. rt jurnalbdg tikungan dari jl wastu kencana belok ke arah gd pakuan https://t.co/awjvjycagz;bukan keluhan atau respon
rt rescue_damkar: cc dbmpkotabdg infobandung: hati-hati tweeps. rt jurnalbdg tikungan dari jl wastu kencana belok ke arah gd pakuan htt…;bukan keluhan atau respon
pdamtirtawening : dari nmr pelanggan 00a06600370 margahayu raya j-ii-37 mohon info sudah beberapa hari air tidak keluar.;keluhan
lapor pak ridwankamil kmaren malem 20desember temen saya kena bacok oleh 7motor di jl lodaya(lapangan soft ball) https://t.co/utfzok3the;keluhan
rt dbmpkotabdg: ridwankamil odedmd yossiirianto diskominfobdg 21/12 urc bojonagara tindaklanjut lap gundukan pasir jl dr otten https:…;respon
rt pdkebersihanbdg: seperti inilah kondisi jl menuju tpa mohon maaf atas kenyamanannya diasudiana giwanghimawan1 ridwankamil https://t…;keluhan
rt pdkebersihanbdg: seperti inilah kondisi jl menuju tpa mohon maaf atas kenyamanannya diasudiana giwanghimawan1 ridwankamil https://t…;keluhan
rt pdkebersihanbdg: di informsikn kpd wargi bandung atas ktrlambatan pengngktan sampah ditps krn jln ke arah tpa mcet cc: ridwankamil ht…;bukan keluhan atau respon
kang ridwankamil  hatur nuhun ya jalur lalin cipaganti dicat. skr jd enak klo dinas malem (jalannya lbh jelas krn mencrang jalur lalinnya);bukan keluhan atau respon
rt pdkebersihanbdg: di informsikn kpd wargi bandung atas ktrlambatan pengngktan sampah ditps krn jln ke arah tpa mcet cc: ridwankamil ht…;bukan keluhan atau respon
rt pdkebersihanbdg: seperti inilah kondisi jl menuju tpa mohon maaf atas kenyamanannya diasudiana giwanghimawan1 ridwankamil https://t…;bukan keluhan atau respon
"rt mojangpolppbdg: (15/12) giat penjangkauan pmks jl. peta perempatan kopo. oleh tranmas rukendi &amp; urc. pukul 10.30. satpolppbdg https:/…";respon
rt tadjiuinbdg: ridwankamil lapor pak mobil ni 2x buang sampah ke pinggir jalan sepanjang jalan sersan bajuri no. 24 https://t.co/t9nhcx…;keluhan
prfmnews infobandung  pdamtirtawening  knpa air pdam di daerah tubagus ismail depan rt05 rw08 tidak menggalir dah 2 minggu;keluhan
rt toekang_sate: pak ridwankamil iyeu jalmi anu ngabalaan jalan di kota bandungngabagikeun pamplet tapi di awur2 di jalan. https://t.co/…;keluhan
apa kabar pdamtirtawening? airnya ngalir k mana ya? di rw 11 kel_cicaheum teu aya bae. ridwankamil prfmnews se_bdg odedmd marcommpr;keluhan
pdkebersihanbdg di pasar suci baru masuk udah disambut bak sampah gede. masa hal kaya gini ga kepikiran ngeganggu atau ngga?? ridwankamil;keluhan
rt ahmad_chm: apa kabar pdamtirtawening? airnya ngalir k mana ya? di rw 11 kel_cicaheum teu aya bae. ridwankamil prfmnews se_bdg ode…;keluhan
ridwankamil pak program pembangunan untuk bandung timur ditahun 2016 ada apa saja ?  :);bukan keluhan atau respon
tetapi hari ini masih boleh akan terjadi pada hari esok. bandung_dinkes;bukan keluhan atau respon
pdamtirtawening nuhun tos ngocor meski cuma malam yg punya air;bukan keluhan atau respon
rt dbmpkotabdg: ridwankamil odedmd yossiirianto diskominfobdg 21/12 urc pju perbaikan lampu hight mast tegallega https://t.co/labd1pe…;respon
rt dbmpkotabdg: ridwankamil odedmd yossiirianto diskominfobdg 21/12 urc pju perbaikan lampu pju jl geusan ulun https://t.co/lo3ww6tnd8;respon
rt dbmpkotabdg: ridwankamil odedmd yossiirianto diskominfobdg 21/12 urc pju perbaikan lampu pju jl ir h djuanda https://t.co/qqe1womk…;respon
rt dbmpkotabdg: ridwankamil odedmd yossiirianto diskominfobdg 21/12 urc pju perbaikan lampu pju jl jamika https://t.co/jmpcrpu8l6;respon
rt dbmpkotabdg: ridwankamil odedmd yossiirianto diskominfobdg 21/12 urc pju perbaikan lampu pju jl sukarno hatta https://t.co/vddtdcy…;respon
rt dbmpkotabdg: ridwankamil odedmd yossiirianto diskominfobdg 21/12 urc pju perbaikan lampu pju jl rumah sakit https://t.co/jhrc2wsinw;respon
rt dbmpkotabdg: ridwankamil odedmd yossiirianto diskominfobdg 21/12 urc pju perbaikan lampu hight mast jl jend sudirman https://t.co/…;respon
rt dbmpkotabdg: ridwankamil odedmd yossiirianto diskominfobdg 21/12 urc pju perbaikan lampu pju jl llre martadinata (jl riau) https:/…;respon
rt dbmpkotabdg: ridwankamil odedmd yossiirianto diskominfobdg 21/12 urc bojonagara tindaklanjut lap gundukan pasir jl dr otten https:…;respon
pohon terbelah vertikal dpn rmh jl. pratista raya 30antapani. mohon bantuan diskamtam utk mengamankan. https://t.co/mbdzsg09uk;keluhan
dbmpkotabdg diskominfobdg ridwankamil odedmd yossiirianto jl. bkr juga donk sklian hmpir padam smua stiap mlm sgt membahayakan!!;keluhan
ridwankamil lapor asal listrik 3394 beli yg 100rb. nambah nya jd 9695 jd hrg listrik brp? 100rb kok dpet 6304 pulsanya....kmh pak?;keluhan
dbmpkotabdg selamat pagi maaf mau tanya npwp bbmp kota bandung berapa ya? untuk membuat efaktur untuk pekerjaan di dbmp kota bandung trims;bukan keluhan atau respon
ridwankamil nofidiekaputera onisumardjono1gober kb jrk siap tmpur mnghlau sgl bntk smpah mlya skl pek. nda. trim https://t.co/n1cwapwjjd;bukan keluhan atau respon
rt nurah_nurjannah: pak ridwankamil saya mau tanya naha bikin ktp jang adi sya jeung surat kematian teth sya kdu pake pajak bumi sagala??…;bukan keluhan atau respon
dbmpkotabdg  pak ridwankamil   pak sy udah lapor hampir 1 bln tp tidak ada tindakannya  pju di jln cipamokolan depan tb saluyu  mati;keluhan
rt pdkebersihanbdg: petugas membersihkan tumpukan smpah di jl. tamansari mari disiplin dgn menjga lingkungan tetap bersih ridwankamil ht…;respon
rt pdkebersihanbdg: petugas membersihkan tumpukan smpah di jl. tamansari mari disiplin dgn menjga lingkungan tetap bersih ridwankamil ht…;respon
rt pdkebersihanbdg: petugas membersihkan tumpukan smpah di jl. tamansari mari disiplin dgn menjga lingkungan tetap bersih ridwankamil ht…;respon
rt pdkebersihanbdg: petugas membersihkan tumpukan smpah di jl. tamansari mari disiplin dgn menjga lingkungan tetap bersih ridwankamil ht…;respon
ridwankamil pak orang stress ini meresahkan suka lempar benda ke jalan lokasi:pasteur sebrang hotel aston infobdg https://t.co/idbqdpfrhk;keluhan
guntoro : pembangunan fly over di bandung ditarget 2016 https://t.co/csw7xccyf5 infobdg infobandung ridwankamil dbmpkotabdg aheryawan;bukan keluhan atau respon
infobdg ridwankamil pak mhn tndkan'y ats prkir liar d jl pasirkaliki ada petugas brjaga pun tdk d tndak lnjuti https://t.co/lolzvsz3lg;keluhan
#suarabdg via rikythemest : parkir liar di jl pasirkaliki ada petugas brjaga pun tdk d tndak lnjuti cc ridwankamil https://t.co/1nfgtcichc;keluhan
rt infobdg: #suarabdg via rikythemest : parkir liar di jl pasirkaliki ada petugas brjaga pun tdk d tndak lnjuti cc ridwankamil https://t…;keluhan
rt infobdg: #suarabdg via rikythemest : parkir liar di jl pasirkaliki ada petugas brjaga pun tdk d tndak lnjuti cc ridwankamil https://t…;keluhan
rt infobdg: #suarabdg via rikythemest : parkir liar di jl pasirkaliki ada petugas brjaga pun tdk d tndak lnjuti cc ridwankamil https://t…;keluhan
suka pengen ngegambar 'cantik' di mobil yang parkir sembarangan #entahmengapa  https://t.co/feujbj7w2s;bukan keluhan atau respon
infobdg rikythemest ridwankamil seharusnya yg punya usaha harus punya lahan parkir yg memadai;keluhan
ridwankamil kang jl kebon pines yg di tangkuban parahu gak ada penerangan pisan jadi kalo malem teh scarry pangmasangkeun lampu jalan nya;keluhan
abramantijo dbmpkotabdg ridwankamil odedmd kec_astanaanyar kalo kali saluran/gorong2 tdk tersumbat niscaya dampak msm hujan tdk besar;bukan keluhan atau respon
rt darwink07883801: abramantijo dbmpkotabdg ridwankamil odedmd kec_astanaanyar kalo kali saluran/gorong2 tdk tersumbat niscaya damp…;bukan keluhan atau respon
rt marry_jean #infolalin lampu warna merah di tl dago-sulanjana-diponegoro tidak berfungsi cc dishub_kotabdg  https://t.co/7g5kuvvdku;keluhan
ridwankamil pjudbmpbdg diskominfobdg mohon perhatian pju di sepanjang jl trs cigadung mati total  hatur nuhun https://t.co/e26ujwjt66;keluhan
rt infobdg: #suarabdg via rikythemest : parkir liar di jl pasirkaliki ada petugas brjaga pun tdk d tndak lnjuti cc ridwankamil https://t…;keluhan
dbmpkotabdg rt abin190880 : mohon perhatian pju di sepanjang jl trs cigadung mati total  hatur nuhun https://t.co/zqsthlwnrn;keluhan
"punteun pju sktr dpn sd bbk sentral&amp;dpn kntor klrhn sukapura pada matiserta lampunya redupridwankamil dbmpkotabdg diskamtam kec_kircon";keluhan
udh lapor berkali2 k pdamtirtawening tpi g ditanggapin.air ledeng bocor ke jalan di jln.sindang sari 1 antapani. gmn nih kang ridwankamil;keluhan
hati-hati untuk pengendara sepeda motor yg melewati arah cipaganti cc ridwankamil https://t.co/7y14ltqui5;bukan keluhan atau respon
"larangan merokok dalam angkot &amp; aturan wajib sedia tong sampah udah ditarik ya pak ridwankamil ? asap rokok supirnya nyesek euy :(";keluhan
ridwankamil prfmnews tmc_restabesbdg d depan tegalega angkit naek trotoar polisi tak berbuat apa2 https://t.co/2k45tjztnc;keluhan
knp mesin mobil sering mati di atas rel ka? *penting!  🙏ridwankamil diskominfobdg ppkadaop2bd iwginting kai121 https://t.co/8zqok9oyjt;bukan keluhan atau respon
rt aksirelawanbdg: knp mesin mobil sering mati di atas rel ka? *penting!  🙏ridwankamil diskominfobdg ppkadaop2bd iwginting kai121 htt…;bukan keluhan atau respon
pdamtirtawening mhn di cek sgera no.00906610020 air tdk keluar ini https://t.co/gceraktrta.087822294555.;keluhan
rt aksirelawanbdg: knp mesin mobil sering mati di atas rel ka? *penting!  🙏ridwankamil diskominfobdg ppkadaop2bd iwginting kai121 htt…;bukan keluhan atau respon
rt bhaktislam: ridwankamil prfmnews tmc_restabesbdg d depan tegalega angkit naek trotoar polisi tak berbuat apa2 https://t.co/2k45t…;keluhan
rt aksirelawanbdg: knp mesin mobil sering mati di atas rel ka? *penting!  🙏ridwankamil diskominfobdg ppkadaop2bd iwginting kai121 htt…;bukan keluhan atau respon
pdamtirtaweningridwankamil  00106700466 punten sudah seminggu air pdam tidak mengalir. mohon bantuannya segera...;keluhan
rt aksirelawanbdg: knp mesin mobil sering mati di atas rel ka? *penting!  🙏ridwankamil diskominfobdg ppkadaop2bd iwginting kai121 htt…;bukan keluhan atau respon
rt aksirelawanbdg: knp mesin mobil sering mati di atas rel ka? *penting!  🙏ridwankamil diskominfobdg ppkadaop2bd iwginting kai121 htt…;bukan keluhan atau respon
rt nadyairfany: ridwankamil pak cobain deh jam 6pagi lewat cicaheum macetnya ampun ampunan deh... ngga cocok pak ada terminal di lokasi c…;keluhan
rt aksirelawanbdg: knp mesin mobil sering mati di atas rel ka? *penting!  🙏ridwankamil diskominfobdg ppkadaop2bd iwginting kai121 htt…;bukan keluhan atau respon
rt bhaktislam: ridwankamil prfmnews tmc_restabesbdg d depan tegalega angkit naek trotoar polisi tak berbuat apa2 https://t.co/2k45t…;keluhan
rt aksirelawanbdg: knp mesin mobil sering mati di atas rel ka? *penting!  🙏ridwankamil diskominfobdg ppkadaop2bd iwginting kai121 htt…;bukan keluhan atau respon
mohon untuk disidak byk anak di bwh umur nongkrong/merokok/membawa motor di jln purnawarman depan bistro lumiere prfmnews satpolppbdg;keluhan
rt aksirelawanbdg: knp mesin mobil sering mati di atas rel ka? *penting!  🙏ridwankamil diskominfobdg ppkadaop2bd iwginting kai121 htt…;bukan keluhan atau respon
rt aksirelawanbdg: knp mesin mobil sering mati di atas rel ka? *penting!  🙏ridwankamil diskominfobdg ppkadaop2bd iwginting kai121 htt…;bukan keluhan atau respon
"rt yops86: larangan merokok dalam angkot &amp; aturan wajib sedia tong sampah udah ditarik ya pak ridwankamil ? asap rokok supirnya nyesek e…";keluhan
dishub_kotabdg rt puspa_zakaria: lampu merah simpang dago matiarus lalin paburisat pa ridwankamil;keluhan
rt aksirelawanbdg: knp mesin mobil sering mati di atas rel ka? *penting!  🙏ridwankamil diskominfobdg ppkadaop2bd iwginting kai121 htt…;bukan keluhan atau respon
"pa ridwankamil sya tiap hari ka kampus lewat pasteur :(  infobandung: tahun depan kendaraan lewat pasteur akan di https://t.co/fxxw22wd6f""";bukan keluhan atau respon
rt aksirelawanbdg: knp mesin mobil sering mati di atas rel ka? *penting!  🙏ridwankamil diskominfobdg ppkadaop2bd iwginting kai121 htt…;bukan keluhan atau respon
yan_tiara pdamtirtawening prfmnews coba saja pakai filter air https://t.co/2evvaxmmoz air keruh menjadi air minum. rp260rb. terjamin!;bukan keluhan atau respon
rt aksirelawanbdg: knp mesin mobil sering mati di atas rel ka? *penting!  🙏ridwankamil diskominfobdg ppkadaop2bd iwginting kai121 htt…;bukan keluhan atau respon
rt aksirelawanbdg: knp mesin mobil sering mati di atas rel ka? *penting!  🙏ridwankamil diskominfobdg ppkadaop2bd iwginting kai121 htt…;bukan keluhan atau respon
rt aksirelawanbdg: knp mesin mobil sering mati di atas rel ka? *penting!  🙏ridwankamil diskominfobdg ppkadaop2bd iwginting kai121 htt…;bukan keluhan atau respon
rt aksirelawanbdg: knp mesin mobil sering mati di atas rel ka? *penting!  🙏ridwankamil diskominfobdg ppkadaop2bd iwginting kai121 htt…;bukan keluhan atau respon
rt aksirelawanbdg: knp mesin mobil sering mati di atas rel ka? *penting!  🙏ridwankamil diskominfobdg ppkadaop2bd iwginting kai121 htt…;bukan keluhan atau respon
rt aksirelawanbdg: knp mesin mobil sering mati di atas rel ka? *penting!  🙏ridwankamil diskominfobdg ppkadaop2bd iwginting kai121 htt…;bukan keluhan atau respon
rt aksirelawanbdg: knp mesin mobil sering mati di atas rel ka? *penting!  🙏ridwankamil diskominfobdg ppkadaop2bd iwginting kai121 htt…;bukan keluhan atau respon
pak saya mau prewed di taman taman inovasi bapak ridwankamil boleh ? apa nanti jones follower bapak ga santet saya pak :(;bukan keluhan atau respon
pak saya mau prewed di taman taman inovasi bapak ridwankamil boleh ? apa nanti jones follower bapak ga santet saya pak :(;bukan keluhan atau respon
rt nadyairfany: ridwankamil pak cobain deh jam 6pagi lewat cicaheum macetnya ampun ampunan deh... ngga cocok pak ada terminal di lokasi c…;keluhan
pak saya mau prewed di taman taman inovasi bapak ridwankamil boleh ? apa nanti jones follower bapak ga santet saya pak :(;bukan keluhan atau respon
pdamtirtawening ridwankamil  00106700466 punten sudah seminggu air pdam tidak mengalir. mohon bantuannya segera...;keluhan
mirip payung yak? tapi itu beneran tumbler kok. hihihihi  https://t.co/l7l3lnrnpn;bukan keluhan atau respon
rt bdgcleanaction: mirip payung yak? tapi itu beneran tumbler kok. hihihihi  https://t.co/l7l3lnrnpn;bukan keluhan atau respon
ridwankamil pak adik saya yg sd dapet dana bsm 450rbtp sama sekolahnya dipotong biaya ntah apa jd dapetnya cuma 140rb.itu boleh pak?;keluhan
nah ! makanya kalo pintu rel udh mau nutup jgn diterobos !! kalo msh bandel tanggung sndiri akibatnya ! https://t.co/mivz6qtxt9;bukan keluhan atau respon
rt aksirelawanbdg: knp mesin mobil sering mati di atas rel ka? *penting!  🙏ridwankamil diskominfobdg ppkadaop2bd iwginting kai121 htt…;bukan keluhan atau respon
rt savebandungcity: nah ! makanya kalo pintu rel udh mau nutup jgn diterobos !! kalo msh bandel tanggung sndiri akibatnya ! https://t.co/m…;bukan keluhan atau respon
ridwankamil odedmd yossiirianto diskominfobdg 22/12 urc pju pengamanan tiang lampu pju jl kopo (rs imanuel) https://t.co/6jkcf9gqyu;respon
rt dbmpkotabdg: ridwankamil odedmd yossiirianto diskominfobdg 22/12 urc pju perbaikan lampu pju jl cicukang https://t.co/zorilugo9o;respon
rt aksirelawanbdg: knp mesin mobil sering mati di atas rel ka? *penting!  🙏ridwankamil diskominfobdg ppkadaop2bd iwginting kai121 htt…;bukan keluhan atau respon
"rt dnurdin_deden: punteun pju sktr dpn sd bbk sentral&amp;dpn kntor klrhn sukapura pada matiserta lampunya redupridwankamil dbmpkotabdg di…";keluhan
hatur nhn dbmpkotabdg atas perbaikn pju d jl sasakgantung kel cikawao #kereen https://t.co/eacfyomazb”;bukan keluhan atau respon
rt dbmpkotabdg: ridwankamil odedmd yossiirianto diskominfobdg 22/12 urc pju perbaikan lampu pju jl saripohaci https://t.co/oc1hugbsnq;respon
rt dbmpkotabdg: ridwankamil odedmd yossiirianto diskominfobdg 22/12 urc pju perbaikan lampu pju jl sasak gantung https://t.co/ygkrkda…;respon
